"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Hist2h2be",0.393377946631936,0.0874468027645445,0.013,0.013,1,0,0
"Esyt3",0.394884820861354,-0.631163262222971,0,0,1,0,0
"Prodh",0.409675352709327,-0.136691295449721,0.005,0.005,1,0,0
"Ptgir",0.410056127796577,-0.309235167335608,0.001,0.001,1,0,0
"Zc3hc1",0.41107366648086,-0.0701307783005518,0.017,0.017,1,0,0
"Minar2",0.411730937771317,-0.349020033441471,0.001,0.001,1,0,0
"Slc52a3",0.41879050424502,0.0668082003273724,0.009,0.009,1,0,0
"Adgrg7",0.41909498974288,0.143123958148971,0.005,0.005,1,0,0
"Gsdme",0.423848207738236,0.188636752501328,0.005,0.005,1,0,0
"Gjb2",0.425183109765397,0.119058428645503,0.005,0.005,1,0,0
"Sema6c",0.42539979206211,-0.331602980364062,0.001,0.001,1,0,0
"Syne4",0.427098318955797,-0.240373309190804,0.002,0.002,1,0,0
"Psmd10",0.433465068137448,-0.0652590973174991,0.016,0.016,1,0,0
"Shank3",0.434418564564127,0.0798232653624025,0.013,0.013,1,0,0
"Atp2b3",0.437277225833808,-0.690056951276539,0,0,1,0,0
"Cacna1a",0.437277225833808,-0.690056951276539,0,0,1,0,0
"Col7a1",0.437277225833808,-0.690056951276539,0,0,1,0,0
"Mrnip",0.437277225833808,-0.690056951276539,0,0,1,0,0
"Ocstamp",0.437277225833808,-0.690056951276539,0,0,1,0,0
"Sept3",0.437277225833808,-0.690056951276539,0,0,1,0,0
"Wif1",0.437277225833808,-0.690056951276539,0,0,1,0,0
"Tet1",0.437284789944548,-0.438518184280575,0,0,1,0,0
"Pnpla3",0.447558012593821,1.17243952497353,0,0,1,0,0
"Adcy1",0.447666836013925,0.461946142168511,0,0,1,0,0
"Osm",0.447666836013925,0.461946142168511,0,0,1,0,0
"Insm1",0.451319705428729,0.631871143610823,0,0,1,0,0
"Sytl5",0.451319705428729,0.631871143610823,0,0,1,0,0
"Pou2f1",0.451416970969421,0.0491471150856677,0.021,0.021,1,0,0
"Sass6",0.452975621761637,-0.0977495999422144,0.009,0.009,1,0,0
"Elavl4",0.453632199987314,0.309943048723461,0.001,0.001,1,0,0
"Slc9a8",0.460779973735103,0.0319583014236962,0.025,0.025,1,0,0
"Disc1",0.465783290801981,0.425420266143398,0,0,1,0,0
"Nr6a1",0.471236550292665,-0.132912394695144,0.004,0.004,1,0,0
"Dmap1",0.474133794984982,0.0720969749805009,0.017,0.017,1,0,0
